,geometry
226,POINT (-79.171667 43.191666)
227,POINT (-79.935 43.173611)
242,POINT (-73.4166666 45.5166666)
267,POINT (-71.691389 45.438611)
269,POINT (-76.596944 44.225277)
270,POINT (-77.5333333 44.1166666)
274,POINT (-73.75 45.46667)
289,POINT (-66.5333333 45.8666666)
290,POINT (-66.4333333 45.8333333)
296,POINT (-61.7833333 47.4166666)
312,POINT (-54.568056 48.936944)
317,POINT (-58.55 48.5333333)
441,POINT (-98.66194 30.78361)
449,POINT (-88.75056 37.18583)
451,POINT (-94.2025 34.54528)
477,POINT (-97.81694 32.44444)
481,POINT (-96.53056 32.74694)
484,POINT (-97.09722 32.08361)
488,POINT (-96.9125 32.45611)
497,POINT (-94.96139 33.09556)
505,POINT (-87.64972 39.01611)
506,POINT (-97.43389 32.35389)
509,POINT (-98.90972 30.24333)
515,POINT (-87.72667 38.60667)
516,POINT (-90.036642 36.225861)
549,POINT (-91.16667 35.63333)
562,POINT (-93.066 34.0998)
565,POINT (-92.45 35.6)
575,POINT (-82.517 40.333)
603,POINT (-70.664625 44.991894)
609,POINT (-89.992203 36.600558)
614,POINT (-89.56175 36.898889)
616,POINT (-72.017 44.567)
617,POINT (-72.23333 44.88333)
618,POINT (-73.1 44.933)
645,POINT (-97.967 30.5)
653,POINT (-95.533 34.033)
658,POINT (-86.251 40.031)
705,POINT (-98.367 30.533)
711,POINT (-98.196 31.106)
712,POINT (-97.567 30.395)
714,POINT (-83.352 40.225)
731,POINT (-83.982025 41.035583)
733,POINT (-84.532 40.204)
746,POINT (-100.019 28.209)
758,POINT (-96.51445 31.64117)
785,POINT (-87.12973 38.70042)
800,POINT (-83.115 40.28)
806,POINT (-83.817 40.367)
872,POINT (-96.971 30.879)
877,POINT (-95.828353 32.163847)
878,POINT (-96.43548 32.93059)
909,POINT (-95.49639 32.74222)
931,POINT (-88.12306 38.08944)
945,POINT (-97.04667 32.69861)
959,POINT (-94.94889 32.69889)
986,POINT (-96.71917 32.57917)
1015,POINT (-94.62111 35.02139)
1024,POINT (-91.73694 35.21194)
1038,POINT (-99.74361 29.21139)
1059,POINT (-98.149 31.666)
1069,POINT (-84.39528 39.53111)
1104,POINT (-97.8 31.417)
1128,POINT (-95.61667 33.16667)
1129,POINT (-100.17333 29.94667)
1150,POINT (-95.404 32.3587)
1151,POINT (-96.39936 32.03155)
1153,POINT (-97.09509 32.65832)
1160,POINT (-96.26878 32.71311)
1176,POINT (-98.48395 29.54429)
1177,POINT (-99.17423 29.36013)
1180,POINT (-99.08333 29.98333)
1183,POINT (-96.58988 33.18286)
1184,POINT (-98.23539 30.74067)
1186,POINT (-97.7604 30.3208)
1187,POINT (-97.67944 30.67917)
1191,POINT (-97.2283 31.61796)
1192,POINT (-97.074139 31.637831)
1193,POINT (-97.31639 31.48472)
1194,POINT (-97.71667 31.13333)
1195,POINT (-97.68333 31.08333)
1196,POINT (-97.83333 31.06667)
1197,POINT (-97.41667 31.15)
1198,POINT (-96.83583 32.83839)
1199,POINT (-95.45 33.63333)
